scan,-0.036889871,0.031558964,-3446.281792915713
0,-0.104733143,0.063332719,-6892.601163734224
10,-0.10407159,0.06329087,-6892.615046106411
20,-0.102223254,0.06327837,-6892.617574567826
25,-0.100966536,0.063277843,-6892.614902033708
30,-0.099573958,0.06326555,-6892.613999504085
40,-0.096623905,0.06324075,-6892.611904143063
50,-0.093719735,0.063228014,-6892.604856145488
60,-0.091044664,0.063189686,-6892.598870583009
70,-0.088631104,0.063170157,-6892.595302566586
80,-0.086442657,0.063162912,-6892.587364665293
100,-0.08253675,0.063135754,-6892.578274429532
120,-0.079224506,0.063123244,-6892.572116429876
140,-0.076648971,0.063120902,-6892.568479572267
160,-0.074975989,0.063118499,-6892.565774659637
180,-0.074199005,0.06311793,-6892.564130510957
